t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season,Month,Day,Hour
3.0,2.0,93.0,6.0,3.0,0.0,1.0,3.0,1,4,0
3.0,2.5,93.0,5.0,1.0,0.0,1.0,3.0,1,4,1
2.5,2.5,96.5,0.0,1.0,0.0,1.0,3.0,1,4,2
2.0,2.0,100.0,0.0,1.0,0.0,1.0,3.0,1,4,3
2.0,0.0,93.0,6.5,1.0,0.0,1.0,3.0,1,4,4
2.0,2.0,93.0,4.0,1.0,0.0,1.0,3.0,1,4,5
1.0,-1.0,100.0,7.0,4.0,0.0,1.0,3.0,1,4,6
1.0,-1.0,100.0,7.0,4.0,0.0,1.0,3.0,1,4,7
1.5,-1.0,96.5,8.0,4.0,0.0,1.0,3.0,1,4,8
2.0,-0.5,100.0,9.0,3.0,0.0,1.0,3.0,1,4,9
3.0,-0.5,93.0,12.0,3.0,0.0,1.0,3.0,1,4,10
2.0,-1.5,100.0,12.0,3.0,0.0,1.0,3.0,1,4,11
2.0,-1.5,96.5,13.0,4.0,0.0,1.0,3.0,1,4,12
3.0,-0.5,87.0,15.0,3.0,0.0,1.0,3.0,1,4,13
2.5,0.0,90.0,8.0,3.0,0.0,1.0,3.0,1,4,14
2.0,-1.5,93.0,11.0,3.0,0.0,1.0,3.0,1,4,15
3.0,0.0,93.0,12.0,3.0,0.0,1.0,3.0,1,4,16
3.0,0.0,93.0,11.0,3.0,0.0,1.0,3.0,1,4,17
3.0,1.5,93.0,6.5,3.0,0.0,1.0,3.0,1,4,18
3.0,1.0,93.0,7.0,3.0,0.0,1.0,3.0,1,4,19
3.0,3.0,93.0,4.0,3.0,0.0,1.0,3.0,1,4,20
3.0,2.5,93.0,5.0,4.0,0.0,1.0,3.0,1,4,21
3.0,2.0,93.0,6.0,4.0,0.0,1.0,3.0,1,4,22
4.0,3.5,87.0,5.0,4.0,0.0,1.0,3.0,1,4,23
4.0,3.0,93.0,6.0,4.0,0.0,0.0,3.0,1,5,0
4.0,3.5,93.0,5.0,4.0,0.0,0.0,3.0,1,5,1
5.0,4.0,87.0,6.0,4.0,0.0,0.0,3.0,1,5,2
6.0,4.5,84.0,7.5,4.0,0.0,0.0,3.0,1,5,3
6.5,5.0,84.0,8.0,4.0,0.0,0.0,3.0,1,5,4
6.0,5.5,87.0,5.0,4.0,0.0,0.0,3.0,1,5,5
7.0,6.5,81.0,5.0,3.0,0.0,0.0,3.0,1,5,6
7.0,6.0,81.0,6.5,3.0,0.0,0.0,3.0,1,5,7
8.0,7.5,79.0,5.0,3.0,0.0,0.0,3.0,1,5,8
8.0,7.0,82.0,6.0,3.0,0.0,0.0,3.0,1,5,9
9.0,8.0,84.5,6.5,3.0,0.0,0.0,3.0,1,5,10
9.0,7.5,90.5,10.0,3.0,0.0,0.0,3.0,1,5,11
10.0,8.0,85.0,11.0,3.0,0.0,0.0,3.0,1,5,12
10.0,8.5,82.0,10.0,3.0,0.0,0.0,3.0,1,5,13
10.0,9.0,82.0,9.0,3.0,0.0,0.0,3.0,1,5,14
10.0,8.5,79.0,10.0,3.0,0.0,0.0,3.0,1,5,15
10.0,8.5,73.5,13.0,3.0,0.0,0.0,3.0,1,5,16
9.5,7.5,73.5,12.0,3.0,0.0,0.0,3.0,1,5,17
9.5,7.5,69.0,14.0,3.0,0.0,0.0,3.0,1,5,18
9.0,6.5,71.0,14.0,3.0,0.0,0.0,3.0,1,5,19
9.0,7.0,71.0,14.0,3.0,0.0,0.0,3.0,1,5,20
9.0,7.0,71.0,11.0,3.0,0.0,0.0,3.0,1,5,21
9.0,7.5,71.0,10.0,4.0,0.0,0.0,3.0,1,5,22
8.5,7.5,73.5,8.0,4.0,0.0,0.0,3.0,1,5,23
8.0,6.5,76.0,8.0,4.0,0.0,0.0,3.0,1,6,0
8.0,6.5,76.0,8.0,4.0,0.0,0.0,3.0,1,6,1
8.0,6.0,76.0,11.0,4.0,0.0,0.0,3.0,1,6,2
8.0,5.5,76.0,14.0,4.0,0.0,0.0,3.0,1,6,3
8.5,6.5,73.5,11.0,4.0,0.0,0.0,3.0,1,6,4
8.0,5.5,82.0,14.0,4.0,0.0,0.0,3.0,1,6,5
8.0,5.0,84.5,15.0,3.0,0.0,0.0,3.0,1,6,6
9.0,7.0,82.0,13.0,3.0,0.0,0.0,3.0,1,6,7
9.0,7.0,82.0,12.0,7.0,0.0,0.0,3.0,1,6,8
9.0,6.5,87.0,16.0,7.0,0.0,0.0,3.0,1,6,9
10.0,7.5,88.0,19.5,3.0,0.0,0.0,3.0,1,6,10
10.0,8.0,88.0,18.0,3.0,0.0,0.0,3.0,1,6,11
11.0,11.0,85.0,19.0,7.0,0.0,0.0,3.0,1,6,12
9.5,6.0,84.5,27.5,3.0,0.0,0.0,3.0,1,6,13
